arma_id,nome,tipo
1,USP,Pistol
2,Glock,Pistol
3,P2000,Pistol
4,HE,Grenade
5,Tec9,Pistol
6,Deagle,Pistol
7,MP9,SMG
8,UMP,SMG
9,Famas,Rifle
10,P250,Pistol
11,AK47,Rifle
12,AWP,Sniper
13,MP7,SMG
14,M4A1,Rifle
15,FiveSeven,Pistol
16,Incendiary,Grenade
17,Scout,Sniper
18,Unknown,Unkown
19,Knife,Equipment
20,Bizon,SMG
21,Flash,Grenade
22,CZ,Pistol
23,M4A4,Rifle
24,Molotov,Grenade
25,P90,SMG
26,AUG,Rifle
27,Gallil,Rifle
28,G3SG1,Sniper
29,M249,Heavy
30,SG556,Rifle
31,Mac10,SMG
32,XM1014,Heavy
33,DualBarettas,Pistol
34,Nova,Heavy
35,Swag7,Heavy
36,Zeus,Equipment
37,Scar20,Sniper
38,SawedOff,Heavy
39,Smoke,Grenade
40,Negev,Heavy
41,Decoy,Grenade
42,Bomb,Equipment
43,MP9-Short_5867,Grenade
44,SG-A1_7765,Grenade
45,FAL-Camo_7378,Sniper
46,Remington-Elite_1906,Equipment
47,Beretta-Silver_6315,Pistol
48,Mossberg-Custom_5779,Equipment
49,CheyTac-S_6884,SMG
50,UMP-Camo_8999,Equipment
51,Intervention-Pro_5088,Rifle
52,FAL-Long_6810,SMG
53,SG-S_599,Rifle
54,R8-Custom_7178,Equipment
55,M4-Gold_706,Grenade
56,Remington-Elite_9160,Rifle
57,SG-Pro_1996,Rifle
58,G36-Elite_6944,Equipment
59,R8-Tactical_6531,Rifle
60,Benelli-Tactical_4200,Rifle
61,Kriss-Pro_69,Rifle
62,Deagle-Silver_9758,Sniper
63,UMP-Pro_4961,Heavy
64,FAL-Camo_5068,Sniper
65,Mac_4711,Grenade
66,Deagle-Pro_10,Sniper
67,Kriss-S_1493,SMG
68,Remington-SD_2456,Shotgun
69,Beretta-Short_929,Shotgun
70,AUG-Camo_2653,Sniper
71,Kriss-A4_4542,Shotgun
72,AK-Short_8640,Equipment
73,Python-Silver_2780,Pistol
74,Barrett-Silenced_9707,Shotgun
75,Vector-Long_8760,Sniper
76,Kriss-SD_7752,Shotgun
77,FAL-Silver_6968,Heavy
78,Thompson-Desert_5015,Heavy
79,Remington-Pro_6753,Rifle
80,M4-Silver_2572,Equipment
81,Barrett-Custom_6522,Sniper
82,Vector_6563,Heavy
83,M16-A4_3488,Grenade
84,Magnum-Silenced_4067,Shotgun
85,SCAR_5211,Rifle
86,M4-Urban_2736,Equipment
87,UMP-Silver_8021,Equipment
88,AWP-A1_8381,Rifle
89,Galil-SD_5129,Shotgun
90,Kriss-Short_5544,Rifle
91,Galil-Gold_4785,SMG
92,MP5-A4_1343,Shotgun
93,R8-Diamond_2294,Rifle
94,UMP_1000,Grenade
95,Galil-Camo_2216,SMG
96,Intervention-Urban_5274,Sniper
97,SCAR-Gold_247,SMG
98,MP7-Short_9273,Rifle
99,Remington-Tactical_5283,Heavy
100,L96-A1_4184,Equipment
101,L96-Silenced_932,SMG
102,MP5-Tactical_9297,Rifle
103,AK-Tactical_5492,SMG
104,Intervention-Carbon_8391,SMG
105,G36_8687,Grenade
106,Mossberg-Custom_2599,Equipment
107,AUG-Camo_9430,Pistol
108,AWP-Silenced_7972,Shotgun
109,Uzi-Tactical_7767,Rifle
110,Mac-A1_9108,SMG
111,G36-Desert_4304,Shotgun
112,P90-Compact_6418,SMG
113,Kriss-Urban_7906,Pistol
114,G36-A1_5624,Grenade
115,MP5-Long_3458,Equipment
116,Mac-A4_4438,Grenade
117,Python-Desert_4299,Grenade
118,UMP-Diamond_7285,Grenade
119,Thompson-Silenced_7523,Equipment
120,R8-A1_1487,Equipment
121,Spas-Compact_5392,Pistol
122,Kriss-Carbon_3469,Equipment
123,M4-Elite_6672,Rifle
124,FAL-A1_5724,SMG
125,UMP-Gold_5085,Sniper
126,M16-Custom_4194,SMG
127,Benelli-Camo_4603,Heavy
128,Galil-Silenced_7084,Shotgun
129,Python-Gold_7006,Sniper
130,P90-Custom_9657,SMG
131,Benelli-Desert_2256,Grenade
132,Python-Diamond_4999,Rifle
133,P90-Camo_6289,SMG
134,Magnum-A4_4801,Shotgun
135,R8-Compact_436,Pistol
136,Intervention-Camo_883,Equipment
137,Beretta-S_6196,SMG
138,HK-Silenced_8726,Equipment
139,Glock-Pro_7995,Pistol
140,Kriss-Gold_6878,Pistol
141,MP5-Gold_8795,Sniper
142,Intervention-Elite_3301,Grenade
143,MP5-Silenced_8929,Sniper
144,Thompson-Compact_5822,Sniper
145,Uzi-Pro_4281,Grenade
146,Deagle-Gold_9433,Grenade
147,Spas-Carbon_4909,Pistol
148,Vector-S_7875,Grenade
149,Python-Desert_463,Shotgun
150,Magnum-Camo_9261,Shotgun
151,Mossberg-Long_6068,Pistol
152,Vector-Custom_63,Shotgun
153,Famas-Camo_1902,Rifle
154,USP-Compact_3744,Rifle
155,L96-Diamond_5601,Pistol
156,MP9-Elite_6955,Heavy
157,Intervention-Tactical_7710,Equipment
158,Spas-Desert_6803,Grenade
159,Thompson-Elite_3348,Shotgun
160,CheyTac-Urban_5823,SMG
161,M4-Silenced_7487,Shotgun
162,AA12-Long_9210,Sniper
163,Beretta-A4_3720,Sniper
164,Remington-Short_6694,Grenade
165,M4-Urban_1771,Shotgun
166,SCAR-Desert_1922,Equipment
167,MP9-Silver_8755,Sniper
168,USP-Elite_8725,Equipment
169,Uzi-Desert_1009,Grenade
170,Beretta-Elite_1739,Pistol
171,FAL-Elite_2369,Pistol
172,G36-Short_3971,Rifle
173,G36-Carbon_7496,Grenade
174,SG-Camo_1079,Heavy
175,USP-SD_8137,Shotgun
176,Deagle-Short_6003,Pistol
177,Intervention-Compact_4700,Heavy
178,SG_4813,Rifle
179,Sig-Silenced_6828,Rifle
180,Barrett-Gold_2297,SMG
181,AK_5436,Grenade
182,DSR-Camo_1639,SMG
183,Glock-Silenced_4579,Grenade
184,Vector-Urban_2165,Equipment
185,CheyTac-Short_1406,Grenade
186,Magnum-Compact_2035,Shotgun
187,HK-Silver_9805,Heavy
188,Barrett-Carbon_6910,Shotgun
189,SG-A4_2244,Rifle
190,M16_527,Sniper
191,MP7-Desert_2963,Pistol
192,Beretta-S_2761,Pistol
193,AA12-S_8157,SMG
194,UMP-Desert_5689,Heavy
195,Benelli-Tactical_1945,Sniper
196,Barrett-A1_6478,Sniper
197,USP-Camo_585,Sniper
198,Galil-SD_6828,Pistol
199,MP9-S_8454,Sniper
200,HK-SD_2950,Shotgun
201,M16-Camo_236,Sniper
202,Glock-Diamond_6015,Shotgun
203,Benelli-Desert_6575,Shotgun
204,Deagle-Camo_1621,Heavy
205,M16-Carbon_1591,Rifle
206,Glock-S_8326,Grenade
207,M16-A1_407,Equipment
208,HK-Carbon_1546,Grenade
209,Magnum-Custom_4663,Sniper
210,Deagle-Long_2941,Rifle
211,UMP-Urban_7071,Sniper
212,Deagle-Silenced_5771,Shotgun
213,CheyTac-Silenced_322,Grenade
214,Kriss-Elite_6494,Grenade
215,Kriss-Pro_6810,Sniper
216,USP-Tactical_7734,Equipment
217,Galil-Silenced_211,Rifle
218,MP7-Compact_3573,Pistol
219,G36-Custom_1965,Rifle
220,HK-Silver_7037,Grenade
221,FAL-Pro_8690,Pistol
222,UMP-Urban_335,Equipment
223,Remington-A1_2514,Shotgun
224,AA12_9271,Grenade
225,Spas-A1_5577,Shotgun
226,G36-Urban_5219,Heavy
227,R8-Diamond_9235,Shotgun
228,Kriss-Gold_1323,Heavy
229,Mossberg-Long_7486,Shotgun
230,FAL-A1_6409,SMG
231,Vector-Carbon_2297,Heavy
232,Magnum-Camo_8425,SMG
233,Intervention-Long_8356,Rifle
234,M4-Short_1476,Shotgun
235,M4-S_5038,Pistol
236,CheyTac-Urban_516,Heavy
237,Vector-Short_2030,SMG
238,DSR-Urban_2576,Grenade
239,MP5-Tactical_9005,Heavy
240,Magnum-A4_1995,Heavy
241,MP5-Camo_7611,Pistol
