jogador_id,steam_id,rank_atual
1,0,0
2,76561198123082770,17
3,76561198147933469,18
4,76561198244806730,13
5,76561198051040004,17
6,76561198051106390,16
7,76561198212678511,17
8,76561198081341202,16
9,76561198223006752,16
10,76561198087293525,18
11,76561198085893650,17
12,76561198121961180,10
13,76561198127679588,10
14,76561198172635494,12
15,76561198157196780,11
16,76561198217399669,10
17,76561198244368912,8
18,76561198065386455,11
19,76561198049026133,10
20,76561198257590109,11
21,76561198268095735,12
22,76561198133612457,12
23,76561198306793170,13
24,76561198356327243,12
25,76561198062735477,11
26,76561198291661695,10
27,76561198077911840,11
28,76561198045584772,12
29,76561198090743464,11
30,76561198297418868,12
31,76561198077940566,11
32,76561198254650228,11
33,76561198218201127,11
34,76561198339368817,10
35,76561198294960488,10
36,76561198074008035,11
37,76561198354428907,11
38,76561198355299160,10
39,76561198534773320,12
40,76561198200972901,11
41,76561198116297938,9
42,76561198282769705,15
43,76561198333567702,14
44,76561198276401955,14
45,76561197973900378,13
46,76561198197427887,14
47,76561198083780137,14
48,76561198123003903,13
49,76561198325858728,14
50,76561198080406314,14
51,76561198169879515,12
52,76561198316212223,13
53,76561198184066598,13
54,76561198125228632,12
55,76561198033213522,13
56,76561198274851424,12
57,76561198220677299,12
58,76561198035195334,9
59,76561198140402460,14
60,76561198064510019,12
61,76561198152892634,13
62,76561198062948330,14
63,76561198324785976,15
64,76561198255072271,14
65,76561198237972336,15
66,76561198115686363,16
67,76561198355692407,17
68,76561198073535347,16
69,76561198370068230,16
70,76561198152153688,16
71,76561198301910020,13
72,76561198264334397,11
73,76561198376603889,13
74,76561197981931896,9
75,76561198144357143,8
76,76561198181659519,11
77,76561198233845584,12
78,76561198131107723,11
79,76561198181682975,11
80,76561198248344308,12
81,76561198277102343,11
82,76561197992279505,18
83,76561198105338672,16
84,76561198055526137,16
85,76561198157858148,16
86,76561198130935676,16
87,76561198248920498,17
88,76561198095829599,17
89,76561198300385525,18
90,76561198127556531,14
91,76561198059839515,17
92,76561198320179184,17
93,76561198262522038,14
94,76561198277589913,16
95,76561198313613545,16
96,76561198229241260,17
97,76561198337860445,16
98,76561198103563882,15
99,76561197988915080,17
100,76561198318665982,17
101,76561198151862369,17
102,76561198214252669,15
103,76561198097188665,16
104,76561198140824036,16
105,76561198373631706,14
106,76561198314921832,15
107,76561198183847203,16
108,76561198091510683,16
109,76561198094503988,15
110,76561198286830902,15
111,76561198092182350,14
112,76561198092594945,12
113,76561198093584133,10
114,76561198067879314,12
115,76561198169547057,12
116,76561198000567360,13
117,76561198127571680,13
118,76561198149432878,12
119,76561198371281942,10
120,76561198323250760,12
121,76561198249128810,12
122,76561197971902106,17
123,76561198003257034,17
124,76561198117655053,17
125,76561197974809751,16
126,76561198004649459,16
127,76561197972919645,14
128,76561198083120768,17
129,76561198123652087,16
130,76561198025587256,15
131,76561198278530054,15
132,76561198385321420,9
133,76561198333800746,8
134,76561198120148749,8
135,76561198145303573,9
136,76561198347696683,9
137,76561198059567145,9
138,76561198347902929,9
139,76561198171272366,15
140,76561198203426961,16
141,76561198274581240,16
142,76561198153723042,15
143,76561198140201574,16
144,76561198196759934,16
145,76561198072474628,15
146,76561198239152652,14
147,76561198231962156,15
148,76561198092508516,16
149,76561198145333052,12
150,76561198312764085,12
151,76561198347519378,13
152,76561198080936522,12
153,76561197980160712,12
154,76561198369129601,12
155,76561198150903216,10
156,76561198303650345,11
157,76561198321850870,10
158,76561198362645604,13
159,76561198399743032,8
160,76561198399877398,9
161,76561198284481848,8
162,76561198404024080,9
163,76561198372159834,6
164,76561198410107643,8
165,76561198338833710,7
166,76561198108350875,8
167,76561198350805205,8
168,76561198375458023,8
169,76561198381263623,8
170,76561198337761088,8
171,76561198112447457,13
172,76561198142477707,13
173,76561198328469359,13
174,76561198261904495,12
175,76561198243019524,13
176,76561198065126836,16
177,76561198064187757,16
178,76561198165300905,14
179,76561198077326537,16
180,76561197990415912,14
181,76561198152901041,15
182,76561198118127420,14
183,76561198067713671,17
184,76561198161327336,14
185,76561198025989141,16
186,76561198050521471,16
187,76561198019410921,17
188,76561198019572603,16
189,76561198089769767,16
190,76561197993738792,16
191,76561198273401701,16
192,76561198005719030,16
193,76561198180022262,13
194,76561198110926924,13
195,76561198090939255,13
196,76561198040978150,13
197,76561198332324037,13
198,76561198130725984,9
199,76561198218834683,12
200,76561198201955028,10
201,76561198052089770,12
202,76561198004349810,10
203,76561198273673499,10
204,76561198289131921,13
205,76561198265125607,14
206,76561198002090355,12
207,76561197973694700,13
208,76561198011691579,8
209,76561198257314740,7
210,76561198105611916,6
211,76561198351330082,7
212,76561198004501014,7
213,76561198165650154,8
214,76561198273962443,7
215,76561198160354649,7
216,76561198398366067,7
217,76561198012411246,6
218,76561198401694139,8
219,76561198409005183,6
220,76561198070390143,8
221,76561197968698892,8
222,76561198198804413,7
223,76561198077842715,7
224,76561198104229316,8
225,76561198084156219,6
226,76561198327001578,7
227,76561198051454999,8
228,76561198135525373,9
229,76561198082278426,9
