partida_id,arquivo_demo,mapa_id,data_hora,rank_medio
1,003201673717864202280_0171883906.dem,1,09/28/2017 8:44:22 PM,16.0
2,003201766426880770095_1255641334.dem,2,09/28/2017 8:44:21 PM,10.0
3,003201817199836659927_0341783733.dem,3,09/28/2017 8:44:21 PM,12.0
4,003208598014746689537_1642267853.dem,2,09/28/2017 8:44:22 PM,11.0
5,003215439283468894455_1450681014.dem,1,09/28/2017 8:44:30 PM,14.0
6,003216728823777198305_0634051576.dem,2,09/28/2017 8:44:36 PM,12.0
7,003218553373129179487_1555113029.dem,4,09/28/2017 8:44:36 PM,15.0
8,003219820053474050253_1898369762.dem,1,09/28/2017 8:44:38 PM,11.0
9,003220156233449209995_1172535415.dem,4,09/28/2017 8:44:43 PM,16.0
10,003222992722193285431_0719199122.dem,1,09/28/2017 8:44:57 PM,16.0
11,003223192530514346240_0109105771.dem,3,09/28/2017 8:45:02 PM,15.0
12,003224063358755930232_1638729843.dem,1,09/28/2017 8:45:07 PM,12.0
13,003228196740792320221_2030607273.dem,1,09/28/2017 8:45:11 PM,16.0
14,003228198080822116364_1122008510.dem,5,09/28/2017 8:45:17 PM,9.0
15,003228201746576703747_0895462729.dem,4,09/28/2017 8:45:23 PM,15.0
16,003228203050099278013_0464794756.dem,1,09/28/2017 8:45:27 PM,12.0
17,003228204969949659180_0482818392.dem,2,09/28/2017 8:45:33 PM,8.0
18,003228211174029918654_2045525464.dem,4,09/28/2017 8:45:40 PM,8.0
19,003228223940820205625_0748795147.dem,1,09/28/2017 8:45:46 PM,13.0
20,003228228336719233207_0297655124.dem,6,09/28/2017 8:45:51 PM,14.0
21,003228231343196340254_2138134632.dem,2,09/28/2017 8:45:53 PM,16.0
22,003228231841412546621_0698826799.dem,5,09/28/2017 8:46:00 PM,13.0
23,003228234049025736851_1126955760.dem,4,09/28/2017 8:46:02 PM,12.0
24,003228237188646830117_0669947481.dem,4,09/28/2017 8:46:02 PM,7.0
25,003228239265263517832_1728586843.dem,1,09/28/2017 8:46:02 PM,7.0
26,003228248931087417445_0354423570.dem,3,09/28/2017 8:46:07 PM,9.0
27,003228314364914172003_2097493371.dem,7,09/28/2017 8:46:14 PM,8.0
28,003228354638822506718_1207382638.dem,7,09/28/2017 8:46:26 PM,16.0
29,003228356307417301054_0525991835.dem,4,09/28/2017 8:46:29 PM,14.0
30,003228357069773996345_1442493513.dem,1,09/28/2017 8:46:31 PM,7.0
31,003228361323939102816_0955098034.dem,4,09/28/2017 8:46:47 PM,9.0
32,003228366742040346629_1810262517.dem,1,09/28/2017 8:46:52 PM,16.0
33,003228380750076182834_1851583313.dem,2,09/28/2017 8:46:57 PM,16.0
34,003228385891152035944_0948915105.dem,5,09/28/2017 8:47:03 PM,10.0
35,003228386756587946269_0971218300.dem,4,09/28/2017 8:47:03 PM,9.0
36,003228387585516634298_0400947528.dem,3,09/28/2017 8:47:09 PM,8.0
37,003228388674290843988_2023832853.dem,7,09/28/2017 8:47:12 PM,15.0
38,003228389155327180900_0236049525.dem,4,09/28/2017 8:47:22 PM,8.0
39,003228390866871648452_0903026146.dem,4,09/28/2017 8:47:23 PM,8.0
40,003228392696527716718_0310516782.dem,1,09/28/2017 8:47:29 PM,12.0
41,003228393171121602578_1246621670.dem,8,09/28/2017 8:47:32 PM,9.0
42,003228394751669567673_2121120974.dem,3,09/28/2017 8:47:39 PM,11.0
43,003228396553408348538_0551926587.dem,4,09/28/2017 8:47:43 PM,14.0
44,003228399650079768646_0599170800.dem,1,09/28/2017 8:47:50 PM,14.0
45,003228401574225117203_1115935543.dem,1,09/28/2017 8:47:52 PM,12.0
46,003228401707369103590_1744914401.dem,1,09/28/2017 8:47:52 PM,11.0
47,003228403242819911829_0143625267.dem,1,09/28/2017 8:47:55 PM,12.0
48,003228408521334718626_1226003625.dem,1,09/28/2017 8:47:57 PM,13.0
49,003228410608688824416_2016149218.dem,3,09/28/2017 8:48:08 PM,12.0
50,003228412964478386562_1464073874.dem,1,09/28/2017 8:48:14 PM,9.0
51,003228413273716031751_1732137982.dem,2,09/28/2017 8:48:16 PM,13.0
52,003228416366092484727_1200915612.dem,2,09/28/2017 8:48:18 PM,14.0
53,003228418951662796830_0101366598.dem,9,09/28/2017 8:48:27 PM,9.0
54,003228423931677376730_1552991623.dem,1,09/28/2017 8:48:35 PM,12.0
55,003228427047676149817_1986251323.dem,4,09/28/2017 8:48:36 PM,9.0
56,003228430758527893524_0527021248.dem,7,09/28/2017 8:48:38 PM,15.0
57,003228445123046015071_0909086421.dem,4,09/28/2017 8:49:07 PM,12.0
58,003228448378631225464_0137634418.dem,4,09/28/2017 8:49:11 PM,10.0
59,003228462751739281570_0237284844.dem,4,09/28/2017 8:49:13 PM,9.0
60,003228478183556776027_0222129707.dem,1,09/28/2017 8:49:18 PM,14.0
61,003228510576200122459_0472340780.dem,2,09/28/2017 8:49:21 PM,12.0
62,003228521708755353613_1156215388.dem,4,09/28/2017 8:49:25 PM,13.0
